,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,3.30869060226767e-05,1035,45,14,0.311111111111111,0.0135265700483092,GO:0009887,GO:BP,animal organ morphogenesis,21031,3785,GO:0009653/GO:0048513
2,query_1,TRUE,3.37541881530464e-05,1225,45,15,0.333333333333333,0.0122448979591837,GO:0060429,GO:BP,epithelium development,21031,15095,GO:0009888
3,query_1,TRUE,0.000399529503180706,1704,45,16,0.355555555555556,0.00938967136150235,GO:0007267,GO:BP,cell-cell signaling,21031,2828,GO:0007154/GO:0023052
4,query_1,TRUE,0.00282819374138082,92,45,5,0.111111111111111,0.0543478260869565,GO:2000027,GO:BP,regulation of animal organ morphogenesis,21031,26055,GO:0009887/GO:0022603
5,query_1,TRUE,0.00367948170555453,12,45,3,0.0666666666666667,0.25,GO:0042487,GO:BP,regulation of odontogenesis of dentin-containing tooth,21031,10564,GO:0042475/GO:0042481
6,query_1,TRUE,0.00369526035175712,2010,45,16,0.355555555555556,0.00796019900497512,GO:0009888,GO:BP,tissue development,21031,3786,GO:0048856
7,query_1,TRUE,0.00473154321836624,290,45,7,0.155555555555556,0.0241379310344828,GO:0045165,GO:BP,cell fate commitment,21031,11696,GO:0030154/GO:0048869
8,query_1,TRUE,0.00833098502061632,316,45,7,0.155555555555556,0.0221518987341772,GO:0060485,GO:BP,mesenchyme development,21031,15147,GO:0009888/GO:0048513
9,query_1,TRUE,0.00850202429645334,452,45,8,0.177777777777778,0.0176991150442478,GO:0016055,GO:BP,Wnt signaling pathway,21031,5147,GO:0007166/GO:0198738
10,query_1,TRUE,0.00878230332014495,454,45,8,0.177777777777778,0.0176211453744493,GO:0198738,GO:BP,cell-cell signaling by wnt,21031,20806,GO:0007267
11,query_1,TRUE,0.00923472718234862,321,45,7,0.155555555555556,0.0218068535825545,GO:0043588,GO:BP,skin development,21031,11149,GO:0048513
12,query_1,TRUE,0.00930999502148072,16,45,3,0.0666666666666667,0.1875,GO:0061101,GO:BP,neuroendocrine cell differentiation,21031,15690,GO:0030182/GO:0060563
13,query_1,TRUE,0.0133081616945015,126,45,5,0.111111111111111,0.0396825396825397,GO:0002065,GO:BP,columnar/cuboidal epithelial cell differentiation,21031,663,GO:0030855
14,query_1,TRUE,0.0160373910042741,19,45,3,0.0666666666666667,0.157894736842105,GO:0042481,GO:BP,regulation of odontogenesis,21031,10561,GO:0042476/GO:2000027
15,query_1,TRUE,0.0180351337313996,501,45,8,0.177777777777778,0.0159680638722555,GO:0002009,GO:BP,morphogenesis of an epithelium,21031,618,GO:0048729/GO:0060429
16,query_1,TRUE,0.0259725445605339,248,45,6,0.133333333333333,0.0241935483870968,GO:0048762,GO:BP,mesenchymal cell differentiation,21031,13438,GO:0030154/GO:0060485
17,query_1,TRUE,0.0330928872369451,73,45,4,0.0888888888888889,0.0547945205479452,GO:0002067,GO:BP,glandular epithelial cell differentiation,21031,665,GO:0002065
18,query_1,TRUE,0.034367432518626,393,45,7,0.155555555555556,0.0178117048346056,GO:0008544,GO:BP,epidermis development,21031,3228,GO:0009888
19,query_1,TRUE,0.0353704798142969,2684,45,17,0.377777777777778,0.00633383010432191,GO:0009653,GO:BP,anatomical structure morphogenesis,21031,3608,GO:0032502/GO:0048856
20,query_1,TRUE,0.0414531782961453,740,45,9,0.2,0.0121621621621622,GO:0030855,GO:BP,epithelial cell differentiation,21031,7175,GO:0030154/GO:0060429
21,query_1,TRUE,0.000692227648049777,37,46,4,0.0869565217391304,0.108108108108108,GO:0005109,GO:MF,frizzled binding,20212,1280,GO:0001664
22,query_1,TRUE,0.00147536344571208,100,46,5,0.108695652173913,0.05,GO:0030594,GO:MF,neurotransmitter receptor activity,20212,3964,GO:0038023
23,query_1,TRUE,0.0234769305607498,292,46,6,0.130434782608696,0.0205479452054795,GO:0001664,GO:MF,G protein-coupled receptor binding,20212,232,GO:0005102
24,query_1,TRUE,0.000142138643300091,365,29,9,0.310344827586207,0.0246575342465753,KEGG:04080,KEGG,Neuroactive ligand-receptor interaction,8484,263,KEGG:00000
25,query_1,TRUE,0.00146092556556424,174,29,6,0.206896551724138,0.0344827586206897,KEGG:04310,KEGG,Wnt signaling pathway,8484,299,KEGG:00000
26,query_1,TRUE,0.00165405522307325,460,32,9,0.28125,0.0195652173913043,REAC:R-HSA-500792,REAC,GPCR ligand binding,10842,987,REAC:R-HSA-372790
27,query_1,TRUE,0.006746753065898,696,32,10,0.3125,0.014367816091954,REAC:R-HSA-372790,REAC,Signaling by GPCR,10842,2188,REAC:R-HSA-162582
28,query_1,TRUE,0.0198593407466374,26,32,3,0.09375,0.115384615384615,REAC:R-HSA-3238698,REAC,WNT ligand biogenesis and trafficking,10842,2590,REAC:R-HSA-195721
29,query_1,TRUE,0.00185475521754623,18,23,3,0.130434782608696,0.166666666666667,WP:WP5052,WP,Nephrogenesis,8286,613,WP:000000
30,query_1,TRUE,0.00824651703448287,161,23,5,0.217391304347826,0.031055900621118,WP:WP4239,WP,Epithelial to mesenchymal transition in colorectal cancer,8286,376,WP:000000
31,query_1,TRUE,0.01570846168295,36,23,3,0.130434782608696,0.0833333333333333,WP:WP4150,WP,Wnt signaling in kidney disease,8286,345,WP:000000
32,query_1,TRUE,0.0350909222840963,118,23,4,0.173913043478261,0.0338983050847458,WP:WP4787,WP,Osteoblast differentiation and related diseases,8286,521,WP:000000
