name	term	lev	seq	value
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101855831	-0.520550070803702
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101863659	-2.22455046511874
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845848	-0.388270664046237
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845848	-0.388270664046237
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101854352	-0.374594834994108
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101863326	0.641070591883017
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101863326	0.641070591883017
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101863326	0.641070591883017
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101863326	0.641070591883017
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC100533445	-0.351246453362694
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101854958	-1.60682672631591
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101859177	-1.2901007018593
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101847204	-1.04978622029782
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC100533428	-1.72711479402084
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101852303	-2.55409825347353
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101861234	-1.02524660309281
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101854982	-0.331626368315888
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101860436	0.0156245206403326
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101857980	-0.22135574720516
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845795	0.711770683071272
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845795	0.711770683071272
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845795	0.711770683071272
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845795	0.711770683071272
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101854659	-0.220100989872575
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101857255	0.639419455294048
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101860381	-0.95986449643038
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101858287	0.22767168804799
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101859772	-0.163104538670554
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101859772	-0.163104538670554
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101859772	-0.163104538670554
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101859772	-0.163104538670554
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101860121	-0.178693697645487
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101861979	-1.03260062273112
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101846891	-2.08827596056069
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101864099	-0.412372365099893
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101846100	-3.30315752669545
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101846100	-3.30315752669545
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101855638	-0.0503370654372717
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101855638	-0.0503370654372717
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101855638	-0.0503370654372717
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101847724	-0.562255667059518
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101861121	-1.47244433816938
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101861121	-1.47244433816938
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101851653	-0.778261287442353
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101862972	-0.249537565642494
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101846822	0.632389955995795
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101846822	0.632389955995795
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101849059	-0.346016540709778
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101851626	-0.588971424546884
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101851925	0.273349415981223
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101851925	0.273349415981223
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101851925	0.273349415981223
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101848773	-2.25902826953814
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101848128	0.0837871424045316
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101858733	0.133554982640995
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	LOC101845191	-0.209514016693319
