name	term	lev	seq	value
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101854654	0.453960769115669
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101860268	-0.162931052080274
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC106013771	-0.398619610234769
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101855409	-0.963873375385539
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101863640	0.833058189365716
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101846791	0.15599518648762
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101862638	0.169356406626259
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101850826	1.33704247754319
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101850826	1.33704247754319
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101850826	1.33704247754319
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101851859	-0.805015683433946
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101846741	1.78448844664459
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101846741	1.78448844664459
"carboxylic acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570	5	LOC101854708	-0.586328885950489
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101850876	0.510446426658895
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101850876	0.510446426658895
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101857289	-0.0441773861188026
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101849328	1.08816337427431
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101848099	1.02939236515651
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101851739	0.85592088987898
"acute inflammatory response"	GO:0002526;GO:0006954	3	LOC101851739	0.85592088987898
"formation of primary germ layer"	GO:0001704	2	LOC100533363	1.52521606765893
"formation of primary germ layer"	GO:0001704	2	LOC101847406	2.81595328246722
"formation of primary germ layer"	GO:0001704	2	LOC106012892	-0.0348732730192839
"formation of primary germ layer"	GO:0001704	2	LOC101848195	0.836462208320832
"formation of primary germ layer"	GO:0001704	2	LOC101857613	-1.04149296747638
"blood vessel remodeling"	GO:0001974;GO:0048771	3	LOC101848356	-0.0954152427916564
"blood vessel remodeling"	GO:0001974;GO:0048771	3	LOC101862424	0.00327639466340207
"blood vessel remodeling"	GO:0001974;GO:0048771	3	LOC101852269	0.234605580401639
"blood vessel remodeling"	GO:0001974;GO:0048771	3	LOC101847482	0.0410218482420209
"blood vessel remodeling"	GO:0001974;GO:0048771	3	LOC101847482	0.0410218482420209
"animal organ development"	GO:0001822;GO:0048513	2	LOC101861115	-0.0568885196261301
"animal organ development"	GO:0001822;GO:0048513	2	LOC101856325	0.866714171419515
"animal organ development"	GO:0001822;GO:0048513	2	LOC101861747	2.66659663950946
"animal organ development"	GO:0001822;GO:0048513	2	LOC101861747	2.66659663950946
"animal organ development"	GO:0001822;GO:0048513	2	LOC101863168	-0.464511815628672
"animal organ development"	GO:0001822;GO:0048513	2	LOC101861747	2.66659663950946
"animal organ development"	GO:0001822;GO:0048513	2	LOC101861747	2.66659663950946
"animal organ development"	GO:0001822;GO:0048513	2	LOC101854803	0.48342888778401
"animal organ development"	GO:0001822;GO:0048513	2	LOC101854803	0.48342888778401
"animal organ development"	GO:0001822;GO:0048513	2	LOC101845625	0.418825059601301
"animal organ development"	GO:0001822;GO:0048513	2	LOC101860318	-0.633718169111655
"animal organ development"	GO:0001822;GO:0048513	2	LOC106011369	-1.48522372131615
"animal organ development"	GO:0001822;GO:0048513	2	LOC101864512	-0.303098031144199
"animal organ development"	GO:0001822;GO:0048513	2	LOC101846713	0.0176368961068628
"animal organ development"	GO:0001822;GO:0048513	2	LOC101858055	2.02222934218011
"animal organ development"	GO:0001822;GO:0048513	2	LOC101864449	0.241096047626235
"animal organ development"	GO:0001822;GO:0048513	2	LOC101864449	0.241096047626235
"animal organ development"	GO:0001822;GO:0048513	2	LOC101862227	0.171335309598949
"animal organ development"	GO:0001822;GO:0048513	2	LOC106011099	0.0274357631540536
"animal organ development"	GO:0001822;GO:0048513	2	LOC101851730	-0.59489743191991
